symbol,company_name,exchange,sector,industry,currency,listing_date,created_at,updated_at
9540.SR,National Environmental Recycling Company,NOMU,Industrials,Waste Management,SAR,,2025-09-30 22:36:07.868156+03:00,2025-09-30 22:36:07.868156+03:00
9645.SR,National Signage Industrial Co.,NOMU,Industrials,Electrical Equipment & Parts,SAR,,2025-09-30 22:36:12.228761+03:00,2025-09-30 22:36:12.228761+03:00
9625.SR,Itmam Consultancy Co.,NOMU,Industrials,Consulting Services,SAR,,2025-09-30 22:36:16.535367+03:00,2025-09-30 22:36:16.535367+03:00
9619.SR,Multi Business Group Company for Projects,NOMU,Industrials,Engineering & Construction,SAR,,2025-09-30 22:36:21.006545+03:00,2025-09-30 22:36:21.006545+03:00
9621.SR,Digital Research Company,NOMU,Industrials,Consulting Services,SAR,,2025-09-30 22:36:25.267253+03:00,2025-09-30 22:36:25.267253+03:00
9613.SR,Shalfa Facilities Management Company,NOMU,Industrials,Specialty Business Services,SAR,,2025-09-30 22:36:29.614843+03:00,2025-09-30 22:36:29.614843+03:00
9606.SR,Altharwah Albashariyyah Co.,NOMU,Industrials,Consulting Services,SAR,,2025-09-30 22:36:34.105972+03:00,2025-09-30 22:36:34.105972+03:00
9597.SR,Leaf Global Environmental Servi,NOMU,Industrials,Waste Management,SAR,,2025-09-30 22:36:38.437870+03:00,2025-09-30 22:36:38.437870+03:00
9598.SR,Al Mohafaza Company for Educati,NOMU,Consumer Defensive,Education & Training Services,SAR,,2025-09-30 22:36:42.728814+03:00,2025-09-30 22:36:42.728814+03:00
9603.SR,Horizon Educational Co.,NOMU,Consumer Defensive,Education & Training Services,SAR,,2025-09-30 22:36:47.053929+03:00,2025-09-30 22:36:47.053929+03:00
9630.SR,Ratio Speciality Company for Tr,NOMU,Consumer Cyclical,Restaurants,SAR,,2025-09-30 22:36:51.345145+03:00,2025-09-30 22:36:51.345145+03:00
